locality,listing_count
MS Ramaiah City Layout,2
MS Ramaiah North layout,2
Muneswara Nagar,2
Munnireddy Layout,2
Nagawara,2
Nagenahalli,2
Nagondanahalli,2
Narayanaghatta,2
Narayanappa Layout Hennur Gardens,2
Narayanapura,2
Neraluru,2
New Gurappana Palya,2
New MICO Layout,2
Nimbekaipura,2
Nisarga Layout,2
Nisarga Layout-Harapanahalli,2
Nyanapanahalli,2
Nyanappana Halli,2
Palace Road,2
Patel Muniyappa Layout,2
Pattabhirama Nagar,2
Pattegarhpalya,2
Peenya Industrial Area,2
Phase 2 Ananth Nagar,2
Pillanna Garden,2
Poorna Prajna Layout,2
Pramod Layout,2
Prasanth Extension,2
Prashant Nagar,2
Prestige Ozone,2
Radha Reddy Layout,2
Raghavendra Extension,2
Rainbow Drive,2
Rainbow Garden Layout,2
Rajaji Nagar-6th Block,2
Ramaiah Reddy Layout OMBR Layout,2
Ranka Colony,2
Rest House Road,2
RHCS Layout,2
Riches Regal Layout,2
Rose Garden,2
Royal Park Residency Layout 2,2
Royal Placid Layout,2
Royal Residency Layout,2
Royal Shelters,2
RS Palya,2
Sadananda Nagar,2
Sadashiva Nagara,2
Sadguru Layout,2
Sai Colony,2
Sampangi rama Nagar,2
Sampigehalli Main Road,2
Sannatammanahalli,2
Sathanur,2
Seegehalli Main Road,2
Seethappa layout,2
Sena Vihar,2
Shan Boga Colony,2
Shankarapura,2
Shanthala Nagar,2
Shirdi Sai Nagar Munnekollal,2
Shivananda Nagar,2
Shreyas Colony,2
Siddanna Layout Stage 2 Banashankari,2
Siddapur,2
Silicon Town,2
Silver County Road,2
Singanayakanahalli,2
Singapura,2
Sir M Vishveswaraya Layout,2
Sir M Vishweshwaraiah Layout Block 2,2
SMV Layout Block 1,2
Somasundarapalaya,2
Sonnappanahalli,2
Sonnenahalli,2
Sorahunase,2
Soukya Road,2
Sri Sai Layout,2
Sri Venkateshpura Layout,2
Sripuram,2
St Thomas Town Cooke Town,2
Stage 1st Nagarbhavi,2
Swami Vivekananda Layout Amrutahalli,2
Swathantra Nagar,2
Syndicate Bank Colony,2
Thambu Chetty Palya Main Road,2
Tharabanahalli,2
Thathaguni,2
Thirupalya,2
Udayanagar Extension,2
Ullal Main Road,2
Varanasi,2
Varanasi Main Road,2
Veerabhadra Nagar,2
Venkatadri Layout,2
Venkatala,2
Venkatapura,2
Venkateshwara Layout Suddagunte Palya,2
VGP layout,2
Victoria Layout,2
Vidyasagar Layout Gundappa Layout,2
Vikram Nagar,2
Vinayak Nagar Vidyaranyapura,2
Vinayaka Nagar JP Nagar,2
Vishweshwaraiah Layout,2
Visthar,2
Viveka Nagar,2
Volagalahalli,2
White City Layout,2
Wind Tunnel Road,2
Yamare,2
Yelahanka Road,2
Yelenahalli,2
1st Main Road,1
4th M Block Rajajinagar,1
A K Gopalan Colony,1
Achappa Layout Silver Oak Layout,1
Adarsha Layout Lingadeeranahalli,1
Addiganahalli,1
Adi Bhyrava Layout,1
Aditya layout,1
Aduru Anekal,1
AECS Layout Block B,1
AECS Layout Block C,1
AECS layout-Sanjay Nagar,1
AGS Layout Dollars Colony,1
Akashavani Layout,1
Alahalli,1
Alur,1
Amam Enclave Layout,1
Amarjyoti Layout-Domlur,1
Ambedkar Colony,1
Ambedkar Nagar Bellandur,1
Anagalapura,1
Anand Nagar,1
Ananda Puram,1
Anantapura,1
Andrahalli Main Road,1
Anekal Main Road,1
Anjana Nagar,1
Anjanapura Township,1
Ankappa Reddy Layout,1
Annaiah Reddy Layout Adarsh Palm Retreat,1
Annapurneshwari Layout Horamavu Agara,1
Anugraha Layout B Narayanapura,1
Anup Layout,1
Aradhana layout,1
Araka Mico Layout,1
Arakere Phase 7,1
Arasinakunte,1
Arehalli,1
Ashraya Layout,1
Ashwath Nagar-Armane Nagar,1
Ashwath Nagar-SR nagar,1
Asthagrama Layout,1
Attiguppe,1
Attur Lake Road,1
AVS layout,1
Ayyappa Layout,1
B Channasandra,1
Baba nagar,1
Badrappa Layout,1
Balagere,1
Balaji Layout Horamavu Agara,1
Balaji Layout Raghuvanahalli,1
Balaji Nagar Stage 3rd Banashankari,1
Balepete,1
Banashankari 6th Stage 3rd Block,1
Bandappa Garden,1
Bande Matt,1
Bandepalya,1
Bangarappanagar,1
Bank Avenue,1
Bank Colony Konanakunte,1
Basappa Garden,1
BCCHS Layout,1
BDA 80 Feet Road,1
BDA Colony,1
BDA LayOut,1
BDS Nagar,1
Begihalli,1
Begur Koppa Road,1
Belathur Main Road,1
Bellandur Amanikere,1
Belur Nagasandra,1
BEML Layout,1
BEML Layout Mailasandra,1
Bendre Nagar,1
Bethel nagar,1
Bettahalsoor,1
Bhagavathi Layout,1
Bhavani Nagar,1
Bhawani Nagar,1
BHEL 2nd Stage,1
Bhoganahalli Road,1
Bhuvaneshwari Nagar,1
Bidaraguppe,1
Bilwaradahalli,1
Bismillah Nagar,1
BK Nagar,1
Block 1st East Byrasandra,1
Block 1st JayaNagar,1
Block 2nd Thyagaraja Nagar,1
Block 3rd Narayana Nagar,1
Block 4th Rajajinagar,1
Block 7 Jayanagar,1
Boyalahalli,1
Brindavan Layout Krishnarajapura,1
Brindavan Layout LBS Nagar,1
BSK Stage 1-Phase-1,1
BTS Layout,1
Bull Temple Road,1
Byagadadhenahalli,1
Byalakere Road,1
Byandahalli,1
Byatarayanapura New Extension,1
Byrasandra Extension,1
Byraveshwaranagar,1
Canara Bank Colony Govindaraja Nagar Ward,1
Canara Bank Colony-Vijayanagar,1
Canara bank Layout,1
Cantonment Railway Station Road,1
Cauvery Colony,1
Cauvery Nagar Vijayanagar,1
CBI Road,1
Central Excise Layout,1
Chamundi Layout,1
Chamundi Nagar-Hebbal,1
Channasandra Main Road,1
Channasandra-Srinivaspura,1
Channenahalli,1
Chikkabettahalli,1
Chikkanagamangala,1
Chikkanahalli,1
Chikkasandra,1
Chikkasanne,1
Chikkathoguru,1
Chikku Lakshmaiah Layout,1
Chinthalamadivala,1
Chiranjeevi Layout,1
Chokkasandra,1
Cholanayakanahalli,1
Chunchaghatta,1
Chunchanakuppe,1
Church Street,1
CK Garden,1
CK Palya,1
CKB Layout,1
Coconut Grove Layout,1
CP Layout Devinagar,1
Cpv Block,1
CQAL Layout,1
Cubbonpete,1
CV Raman Road,1
D' Souza Layout,1
Dairy Circle,1
Dasanapura,1
Dasappa Layout,1
Dattatreya Nagar,1
Davis Road,1
Defence Colony-Domlur,1
Defence Enclave,1
Defence Layout Sahakar Nagar,1
Defence Layout Vidyaranyapura,1
Devarachikkanahalli Road,1
Division ll Venkatala,1
DN Ramaiah layout,1
Dodda Banaswadi Main Road,1
Dodda Kempaiah Layout,1
Doddaballapur,1
Doddabele,1
Doddabidarakallu,1
Doddagollarahatti,1
Doddagubbi,1
Doddakannelli kaadubeesanahalli Road,1
Doddanagamangala,1
Dollar Scheme Colony,1
Dr Shivaram Karanth Nagar,1
Dr Vivekananda Layout,1
Dwaraka Nagar RR Nagar,1
Dwarka Nagar,1
East of NGEF Layout,1
Elus Road,1
Escorts Colony,1
Esther Enclave Layout,1
Fathima Layout,1
Ferns Habitat,1
Fort Kengeri,1
G Block Sahakar Nagar,1
Ganapathipura,1
Ganesha Block,1
Ganesha Block Sultanpalya,1
Ganganahalli,1
Gangaparameshwari Nagar,1
Gangondanahalli,1
Ganigarahalli,1
Gayathri Layout Gokula Layout,1
Geddalahalii,1
Geddalahalli,1
Geology Layout,1
Giddens Layout,1
GKW layout,1
Gokare,1
Gopalappa Layout Hebbal Kempapura,1
Gopasandra Sarjapura Road,1
Gottamaranahalli,1
Gottigere Kengeri Road,1
Gottigere Main Road,1
Gottigere Road,1
Govindaraja Nagar Ward,1
Gowda Muniswamy Garden,1
Gregorian Nagar,1
Guddadahalli-Hebbal,1
Gundappa Layout,1
Guniagrahara,1
Gunjur Doddakannelli Road,1
Gunjur Palya Road,1
Gururaja Layout,1
Gururaja Layout Banashankari,1
HA Farm Post,1
Hagadur,1
HAL 3rd Stage Extension,1
HAL- New Thippasandra,1
Halasahalli,1
Halasahalli Thippasandra,1
Hale Devasandra,1
Hampi Nagar,1
Hanuman Nagar,1
Hanumanthappa Layout-Kyalasanahalli,1
Happy Garden Layout,1
Haragadde,1
Harapanahalli,1
Harinagar Shrinidhi Layout,1
Havanur Layout,1
Hebbagodi,1
Hemanth Nagar,1
Hemmigepura Ward no 198,1
Hennagara,1
Hennur Bagalur Main Road,1
HIG Colony,1
High Grounds,1
Hirohalli,1
HMR Layout,1
HMT Layout Dinnur,1
Hombegowda Nagar,1
Honnasandra,1
Hoodi Main Road,1
Horamavu Agara Main Road,1
Horamavu Agara Road,1
Hosahalli,1
Hosakerehalli Layout,1
Hoskote Malur Road,1
Hosur Main Road,1
Hoysala Nagar,1
Hoysala Nagar Stage 2,1
HRBR Layout Block 3,1
Hulimavu Main Road,1
Hullahalli,1
Hunasamaranahalli,1
Huskur Road,1
IDBI Layout,1
Indira nagar-Hegganahalli,1
Indiranagar Koramangala,1
Industrial Area,1
Industrial Layout,1
ISRO Layout Rajeshwari Layout,1
ITI Colony Krishnarajapura,1
ITI Employees Layout,1
ITI Layout-Banashankari,1
Jagajyothi Layout,1
Jai Bhuvaneshwari Layout,1
Jai Maruthi Nagar,1
Jaibheemanagar Chikka Madivala,1
Jakkur Road,1
Jakkuru Main Road,1
Jalahalli East,1
janankshi layout,1
Jayamahal,1
JC Nagar,1
Jeevan Bima Nagar,1
Jeevan Kendra Layout,1
Jigani Anekal Road,1
Jnanabharathi BDA Layout,1
Jogappa Layout,1
Jogupalya,1
John Nagar,1
Jyothi Nagar Chandra Layout,1
K C Krishna Reddy Layout,1
Kadubeesanahalli Road,1
Kadugodi Road,1
Kadugondanahalli,1
Kalidasa Layout,1
Kalkare Main Road,1
Kalyan Nagar Indiranagar,1
Kammagondahalli,1
Kammanahalli Main Road,1
kangeri Sattelite Town Stage 1,1
Kanmanike,1
Kanteerava Nagar,1
Kasthuriba Nagar,1
Kattamanallur,1
Kaverappa Layout Vasanth Nagar,1
Kaveri Layout Govindaraja Nagar Ward,1
Kaveri Nagar,1
Kaveri Nagar Bommannahalli,1
Kempapura Agrahara,1
Kempegowda,1
Kenchenahalli,1
Kenchenahalli Stage 4th RR Nagar,1
Kensington Gardens,1
KHB Colony Koramangala,1
Kirloskar Colony,1
Kithiganahalli,1
Kithiganur,1
Kodandarampura,1
Kodigehalli Main Road,1
Kodipur,1
Koralur,1
Koramangala 80 Feet Road,1
Koti Hosahalli,1
